Drive name:	MOTOR
Drive model:	ACS880-01-034A-5 (811)
Firmware:	AINF6 v2.90
Group	GroupName	Index	Name	Value	ValueName	Min	Max	Unit	
1	Actual values	1	Motor speed used	0		-30000	30000	rpm
1	Actual values	2	Motor speed estimated	0		-30000	30000	rpm
1	Actual values	3	Motor speed %	0		-1000	1000	%
1	Actual values	4	Encoder 1 speed filtered	0		-30000	30000	rpm
1	Actual values	5	Encoder 2 speed filtered	0		-30000	30000	rpm
1	Actual values	6	Output frequency	0		-600	600	Hz
1	Actual values	7	Motor current	0		0	30000	A
1	Actual values	8	Motor current % of motor nom	0		0	1000	%
1	Actual values	10	Motor torque	0		-1600	1600	%
1	Actual values	11	DC voltage	690.5		0	2000	V
1	Actual values	13	Output voltage	0		0	2000	V
1	Actual values	14	Output power	0		-32768	32767	hp
1	Actual values	15	Output power % of motor nom	0		-300	300	%
1	Actual values	17	Motor shaft power	0		-32768	32767	hp
1	Actual values	18	Inverter GWh motoring	0		0	32767	GWh
1	Actual values	19	Inverter MWh motoring	0		0	1000	MWh
1	Actual values	20	Inverter kWh motoring	68.94958		0	1000	kWh
1	Actual values	21	U-phase current	-0.02		-30000	30000	A
1	Actual values	22	V-phase current	0.01		-30000	30000	A
1	Actual values	23	W-phase current	-0.01		-30000	30000	A
1	Actual values	24	Flux actual %	0		0	200	%
1	Actual values	25	INU momentary cos φ	0		-1	1	NoUnit
1	Actual values	29	Speed change rate	0		-15000	15000	rpm/s
1	Actual values	30	Nominal torque scale	80.494		0	4000000	NoUnit
1	Actual values	31	Ambient temperature	21.7		-40	200	°C
1	Actual values	32	Inverter GWh regenerating	0		0	32767	GWh
1	Actual values	33	Inverter MWh regenerating	0		0	1000	MWh
1	Actual values	34	Inverter kWh regenerating	0.1497773		0	1000	kWh
1	Actual values	35	Mot - regen energy GWh	0		-32768	32767	GWh
1	Actual values	36	Mot - regen energy MWh	0		-1000	1000	MWh
1	Actual values	37	Mot - regen energy kWh	68.7998		-1000	1000	kWh
1	Actual values	61	Abs motor speed used	0		0	30000	rpm
1	Actual values	62	Abs motor speed %	0		0	1000	%
1	Actual values	63	Abs output frequency	0		0	600	Hz
1	Actual values	64	Abs motor torque	0		0	1600	%
1	Actual values	65	Abs output power	0		0	32767	hp
1	Actual values	66	Abs output power % motor nom	0		0	300	%
1	Actual values	68	Abs motor shaft power	0		0	32767	hp
1	Actual values	70	Ambient temperature %	36.23		-200	200	%
1	Actual values	71	Step-up motor current	0.01		0	30000	A
1	Actual values	72	U-phase RMS current	0		0	30000	A
1	Actual values	73	V-phase RMS current	0		0	30000	A
1	Actual values	74	W-phase RMS current	0		0	30000	A
3	Input references	1	Panel reference	1.97		-100000	100000	NoUnit
3	Input references	2	Panel reference 2	0		-30000	30000	NoUnit
3	Input references	5	FB A reference 1	0		-100000	100000	NoUnit
3	Input references	6	FB A reference 2	0		-100000	100000	NoUnit
3	Input references	7	FB B reference 1	0		-100000	100000	NoUnit
3	Input references	8	FB B reference 2	0		-100000	100000	NoUnit
3	Input references	9	EFB reference 1	0		-30000	30000	NoUnit
3	Input references	10	EFB reference 2	0		-30000	30000	NoUnit
3	Input references	11	DDCS controller ref 1	0		-30000	30000	NoUnit
3	Input references	12	DDCS controller ref 2	0		-30000	30000	NoUnit
3	Input references	13	M/F or D2D ref1	0		-30000	30000	NoUnit
3	Input references	14	M/F or D2D ref2	0		-30000	30000	NoUnit
3	Input references	30	FB A reference 1 int32	0		-2147483648	2147483647	NoUnit
3	Input references	31	FB A reference 2 int32	0		-2147483648	2147483647	NoUnit
3	Input references	51	IEC application panel reference	0		-100000	100000	NoUnit
4	Warnings and faults	1	Tripping fault	29968		0	65535	NoUnit
4	Warnings and faults	2	Active fault 2	0		0	65535	NoUnit
4	Warnings and faults	3	Active fault 3	0		0	65535	NoUnit
4	Warnings and faults	4	Active fault 4	0		0	65535	NoUnit
4	Warnings and faults	5	Active fault 5	0		0	65535	NoUnit
4	Warnings and faults	6	Active warning 1	0		0	65535	NoUnit
4	Warnings and faults	7	Active warning 2	0		0	65535	NoUnit
4	Warnings and faults	8	Active warning 3	0		0	65535	NoUnit
4	Warnings and faults	9	Active warning 4	0		0	65535	NoUnit
4	Warnings and faults	10	Active warning 5	0		0	65535	NoUnit
4	Warnings and faults	11	Latest fault	29968		0	65535	NoUnit
4	Warnings and faults	12	2nd latest fault	29968		0	65535	NoUnit
4	Warnings and faults	13	3rd latest fault	29968		0	65535	NoUnit
4	Warnings and faults	14	4th latest fault	29968		0	65535	NoUnit
4	Warnings and faults	15	5th latest fault	29968		0	65535	NoUnit
4	Warnings and faults	16	Latest warning	45035		0	65535	NoUnit
4	Warnings and faults	17	2nd latest warning	45026		0	65535	NoUnit
4	Warnings and faults	18	3rd latest warning	45025		0	65535	NoUnit
4	Warnings and faults	19	4th latest warning	45035		0	65535	NoUnit
4	Warnings and faults	20	5th latest warning	45026		0	65535	NoUnit
4	Warnings and faults	21	Fault word 1	0		0	65535	NoUnit
4	Warnings and faults	22	Fault word 2	4096		0	65535	NoUnit
4	Warnings and faults	31	Warning word 1	0		0	65535	NoUnit
4	Warnings and faults	32	Warning word 2	0		0	65535	NoUnit
4	Warnings and faults	40	Event word 1	0		0	65535	NoUnit
4	Warnings and faults	41	Event word 1 bit 0 code	0		0	65535	NoUnit
4	Warnings and faults	42	Event word 1 bit 0 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	43	Event word 1 bit 1 code	0		0	65535	NoUnit
4	Warnings and faults	44	Event word 1 bit 1 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	45	Event word 1 bit 2 code	0		0	65535	NoUnit
4	Warnings and faults	46	Event word 1 bit 2 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	47	Event word 1 bit 3 code	0		0	65535	NoUnit
4	Warnings and faults	48	Event word 1 bit 3 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	49	Event word 1 bit 4 code	0		0	65535	NoUnit
4	Warnings and faults	50	Event word 1 bit 4 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	51	Event word 1 bit 5 code	0		0	65535	NoUnit
